surrogate_id,activation,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,delta_mae_mean,delta_mae_p95,delta_mae_p99
H-3,swish,11,1,2,otm_medium_short,5000,0.000750869881155156,0.00180073706433177,0.002655486445873982,0.009839453087049407,0.02832288220524789,0.04376222930848602
H-3,swish,12,2,2,atm_medium_short,5000,0.0010835760123023648,0.00310566918924451,0.005282681267708548,0.015519126451597549,0.05510021299123765,0.14989027570001795
H-3,swish,13,3,2,itm_medium_short,5000,0.0009989744901657105,0.0024977996945381173,0.0033086223155260096,0.0058985588788986205,0.01622283458709718,0.026811793446540905
H-3,swish,14,4,2,deep_itm_medium_short,5000,0.0017240840256214141,0.0032837808132171633,0.004323552250862123,0.004150268995761872,0.01085112094879151,0.0216707235574723
H-3,swish,15,0,3,deep_otm_medium,5000,0.0003825501202495469,0.0010026257252320648,0.0016251608170568962,0.004254744852878355,0.010840244311839343,0.018177301082760115
H-3,swish,16,1,3,otm_medium,5000,0.0005892156159769723,0.0016518780961632732,0.003407371876528516,0.007362836369301773,0.024110426008701325,0.052107636225409856
H-3,swish,17,2,3,atm_medium,5000,0.00077210622230632,0.002196840569376946,0.004254905078560124,0.008286427356326021,0.025300291180610703,0.10388300180435249
H-3,swish,18,3,3,itm_medium,5000,0.0006925961300730706,0.0017548322677612307,0.0026482959091663366,0.003716111874580383,0.01052926778793335,0.017692219614982605
H-3,swish,19,4,3,deep_itm_medium,5000,0.0013899893641471863,0.002737593650817871,0.0035195511579513565,0.003175396275520325,0.008283287286758423,0.01277058720588685
H-3,swish,20,0,4,deep_otm_long,5000,0.0005242880093172948,0.0013857997948889535,0.0031269066551453816,0.00516671930946102,0.01407302932348104,0.0288891798257828
H-3,swish,21,1,4,otm_long,5000,0.00072435786026458,0.0020695149432867774,0.0045387107459828316,0.007730207835383543,0.025542026013135932,0.07907751648221165
H-3,swish,22,2,4,atm_long,5000,0.0009610435983104253,0.002294121682643891,0.005822685193270458,0.006179170747986063,0.016602665185928345,0.07093549907207498
H-3,swish,23,3,4,itm_long,5000,0.0009465021282434464,0.0020407289266586312,0.0030272299051284837,0.003103471577167511,0.007841098308563233,0.014984909892082227
H-3,swish,24,4,4,deep_itm_long,5000,0.0014526394188404082,0.0029775440692901617,0.0040212631225585984,0.00371992963552475,0.01095442771911621,0.01879652976989747
H-4,tanh,0,0,0,deep_otm_weekly,5000,0.0018520400359608245,0.004799186438322068,0.006875242474479821,0.012421482001033695,0.031725209646403595,0.04506216851658864
H-4,tanh,1,1,0,otm_weekly,5000,0.0032433884974176095,0.007708670297794014,0.010528463402001762,0.03984564425504819,0.0979260137304664,0.1336094978405163
H-4,tanh,2,2,0,atm_weekly,5000,0.007503871608195686,0.01644324054941535,0.020967097617685802,0.07190472312665117,0.20693326145410548,0.2956409083027393
H-4,tanh,3,3,0,itm_weekly,5000,0.0044133337780833245,0.011139707267284393,0.01483962357044221,0.03740645370483398,0.08377068340778353,0.109448139667511
H-4,tanh,4,4,0,deep_itm_weekly,5000,0.0020720556259155275,0.005337062478065491,0.007699671983718877,0.011898677051067352,0.034263941645622256,0.05829324364662181
H-4,tanh,5,0,1,deep_otm_short,5000,0.0015625555708586674,0.003545565903186798,0.0050384602596386715,0.008731055651897555,0.02429827905551789,0.033622707617669
H-4,tanh,6,1,1,otm_short,5000,0.0017727488870686603,0.004451683349907398,0.0065119955356931335,0.01873460924348833,0.05206539244773508,0.08399297120515266
H-4,tanh,7,2,1,atm_short,5000,0.003015684868900524,0.00822520423680544,0.011715885982848704,0.038529133051935165,0.14118459023884497,0.2524704146385194
