surrogate_id,activation,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,delta_mae_mean,delta_mae_p95,delta_mae_p99
BS-2,softplus,12,2,2,atm_medium_short,5000,0.002543688451147593,0.006510147266089917,0.010167441195808353,0.022181784943755105,0.10700634270906449,0.21056645035743785
BS-2,softplus,13,3,2,itm_medium_short,5000,0.004019431307911873,0.0075252667069435125,0.008915167450904848,0.01798639544248581,0.06250645220279696,0.10042862415313727
BS-2,softplus,14,4,2,deep_itm_medium_short,5000,0.007110454243421554,0.012815582752227784,0.014350513219833374,0.020078393495082857,0.058405703306198126,0.07365242302417759
BS-2,softplus,15,0,3,deep_otm_medium,5000,0.0010981666379669857,0.002949417755007744,0.0037515956163406486,0.007091934979256849,0.016049076616764076,0.01903311938047409
BS-2,softplus,16,1,3,otm_medium,5000,0.00232425784840236,0.0059587642550468466,0.007679881751537325,0.01236358665533545,0.026844584941864015,0.05095177054405224
BS-2,softplus,17,2,3,atm_medium,5000,0.004137883031692354,0.009069766104221345,0.010103390272706753,0.018624774610513123,0.0580818384885788,0.13983680486679106
BS-2,softplus,18,3,3,itm_medium,5000,0.005502957281470299,0.00927431732416153,0.010213151574134827,0.013107836306095123,0.03751867413520813,0.05924261152744297
BS-2,softplus,19,4,3,deep_itm_medium,5000,0.00458994060754776,0.009420835971832275,0.011716178059577947,0.010546310925483703,0.028145092725753783,0.043730354309082085
BS-2,softplus,20,0,4,deep_otm_long,5000,0.00158499279354515,0.004342479258775712,0.007619907259941105,0.009605585440558334,0.03246816098690033,0.04741935759782793
BS-2,softplus,21,1,4,otm_long,5000,0.002526700908451422,0.005543877929449082,0.006481104046106339,0.013183103498133559,0.0245236873626709,0.06163412708789119
BS-2,softplus,22,2,4,atm_long,5000,0.00484655001598876,0.008023725450038911,0.009051575660705566,0.014624922531843186,0.04412163496017458,0.07958332180976886
BS-2,softplus,23,3,4,itm_long,5000,0.005536256732046605,0.00930692553520203,0.010516352057456973,0.010357797932624816,0.021469882130622866,0.033577311635017405
BS-2,softplus,24,4,4,deep_itm_long,5000,0.0055307088673114775,0.011214274168014527,0.01357990562915802,0.008460621297359467,0.02226087450981141,0.030447651147842415
BS-3,swish,0,0,0,deep_otm_weekly,5000,0.00269372361042838,0.008003874110181641,0.009901882998474327,0.023690313358151888,0.05099032403473119,0.057407019547191164
BS-3,swish,1,1,0,otm_weekly,5000,0.0029400365408160994,0.006852423957025168,0.00890447795391083,0.04600151586013656,0.11374992579221725,0.13085421185940507
BS-3,swish,2,2,0,atm_weekly,5000,0.007778472194977528,0.014987499825656418,0.01805585663765669,0.07438567650821444,0.18683286085724832,0.2868260854482651
BS-3,swish,3,3,0,itm_weekly,5000,0.0035619444236159323,0.007800095528364181,0.011339460611343386,0.052127717316150665,0.09804007411003113,0.11098429620265961
BS-3,swish,4,4,0,deep_itm_weekly,5000,0.003551605153083801,0.009954123198986054,0.011430225372314457,0.016410350036621092,0.032836329936981205,0.047041986584663416
BS-3,swish,5,0,1,deep_otm_short,5000,0.0016782835897911255,0.004397307826366159,0.006080152540635032,0.014705262204234515,0.03284045070281536,0.041326893888696654
BS-3,swish,6,1,1,otm_short,5000,0.00138083150693425,0.00319461927865632,0.004588134065270427,0.02071636747628555,0.05318177491426469,0.06477417834103108
BS-3,swish,7,2,1,atm_short,5000,0.0031540224821735956,0.0072016678750515,0.0094265860831365,0.03566082675545134,0.13928965507075192,0.24585437655448972
BS-3,swish,8,3,1,itm_short,5000,0.0017805617943406106,0.004366923868656159,0.005785171836614612,0.02399505615234375,0.05456960797309876,0.07567803144454965
BS-3,swish,9,4,1,deep_itm_short,5000,0.0018771987140178681,0.005264836549758912,0.006855520308017732,0.01166458523273468,0.025299721956253053,0.031140072345733655
BS-3,swish,10,0,2,deep_otm_medium_short,5000,0.0007458039146573812,0.0019804714713245633,0.002686769934371114,0.00819304324350652,0.018520584869463622,0.022393411631242092
BS-3,swish,11,1,2,otm_medium_short,5000,0.0006930720438196714,0.0017810687422752383,0.0023964120477506876,0.011121755236565545,0.024822588264942175,0.035306535214185725
BS-3,swish,12,2,2,atm_medium_short,5000,0.0016048971186726397,0.002849682793021203,0.005608326494693773,0.01832352088245829,0.07796803452074533,0.1780810165917502
BS-3,swish,13,3,2,itm_medium_short,5000,0.0007405565723776818,0.0017903223633766174,0.0031939032673835755,0.011928057610988616,0.033298349380493183,0.06038949012756353
BS-3,swish,14,4,2,deep_itm_medium_short,5000,0.001193927276134491,0.003263545036315918,0.004494955539703374,0.007295316398143768,0.022024938464164735,0.028828509449958826
BS-3,swish,15,0,3,deep_otm_medium,5000,0.0006343016744621981,0.001980673613699581,0.0026211075920414832,0.006934825063394569,0.02033946136066334,0.026595435734139986
BS-3,swish,16,1,3,otm_medium,5000,0.0007363819541704696,0.0017531339868274134,0.002537048565291529,0.008672218171046955,0.02991186454892159,0.042093355276399305
