surrogate_id,role,loss,bin_id,moneyness_idx,maturity_idx,bin_label,n_points,price_mae_mean,price_mae_p95,price_mae_p99,delta_mae_mean,delta_mae_p95,delta_mae_p99
H-6-small,small_dml,differential,7,2,1,atm_short,5000,0.0019757241644946717,0.0049577984958887105,0.007220663316547872,0.01628224251689695,0.049601697921752945,0.1094677287340165
H-6-small,small_dml,differential,8,3,1,itm_short,5000,0.0018983546406030655,0.004992485046386719,0.007391979843378071,0.007371980857849121,0.019934266805648814,0.03271428704261781
H-6-small,small_dml,differential,9,4,1,deep_itm_short,5000,0.0014855478346347808,0.0036169618368148805,0.005512406826019306,0.004622671866416931,0.010311725735664369,0.016519655585289002
H-6-small,small_dml,differential,10,0,2,deep_otm_medium_short,5000,0.0004834499420754699,0.0011366911472578069,0.0018775211097090542,0.002554866383795139,0.00778224524110556,0.01228654300794008
H-6-small,small_dml,differential,11,1,2,otm_medium_short,5000,0.0008727057917661842,0.0022485576570034026,0.003103744376276157,0.0064887012479090175,0.016973038762807847,0.025784258790663456
H-6-small,small_dml,differential,12,2,2,atm_medium_short,5000,0.0018094757384285913,0.0036968618631362917,0.0046478775143623365,0.009056727812997998,0.028945272415876393,0.07883231401443512
H-6-small,small_dml,differential,13,3,2,itm_medium_short,5000,0.0014543380111455917,0.0031831473112106335,0.004141898453235626,0.005136317074298858,0.012346437573432923,0.01846704423427584
H-6-small,small_dml,differential,14,4,2,deep_itm_medium_short,5000,0.0010750159502029418,0.0027925759553909303,0.0038803860545158393,0.0036796998977661134,0.00773056447505951,0.010569173693656921
H-6-small,small_dml,differential,15,0,3,deep_otm_medium,5000,0.0005682836098109456,0.0014319279562187155,0.0021553830802440695,0.003523734506999417,0.008787425607442856,0.012921954691410078
H-6-small,small_dml,differential,16,1,3,otm_medium,5000,0.0011270227426377068,0.002385384030640126,0.003318576440215112,0.005016207654431406,0.015560693293809899,0.030664086639881186
H-6-small,small_dml,differential,17,2,3,atm_medium,5000,0.0015417842422713874,0.0029284287244081496,0.004316060096025473,0.0038752743184333666,0.012325012683868422,0.04518388032913252
H-6-small,small_dml,differential,18,3,3,itm_medium,5000,0.0013936199650168418,0.0027186326682567597,0.004065124690532687,0.002738834524154663,0.006890890002250672,0.012024287581443796
H-6-small,small_dml,differential,19,4,3,deep_itm_medium,5000,0.0008822645366191864,0.002233687043190003,0.003246946334838868,0.0033281447887420655,0.006935009360313417,0.00870990037918091
H-6-small,small_dml,differential,20,0,4,deep_otm_long,5000,0.0009531302317842664,0.002504720538854599,0.0035422945022583023,0.004194331787778114,0.010397777538310038,0.016530402004718784
H-6-small,small_dml,differential,21,1,4,otm_long,5000,0.0016780330052022225,0.003468327224254608,0.005298716745455751,0.004647134544401841,0.017406325787305842,0.03821003228425998
H-6-small,small_dml,differential,22,2,4,atm_long,5000,0.0019077713063856208,0.0037736050784587874,0.0060136211663484596,0.003354215368302539,0.008918431401252765,0.03679867148399365
H-6-small,small_dml,differential,23,3,4,itm_long,5000,0.001652340890467167,0.0034875541925430313,0.005318914800882341,0.0024802422404289247,0.006438794732093811,0.010744515061378484
H-6-small,small_dml,differential,24,4,4,deep_itm_long,5000,0.0010149455726146698,0.00253603607416153,0.004393171072006231,0.0033642204403877256,0.006616914272308349,0.008847625255584718
H-3,baseline_large,price,0,0,0,deep_otm_weekly,5000,0.001088445662069567,0.003070674724949643,0.006803478567617287,0.011242815897125008,0.026202705293511007,0.04009045643102059
H-3,baseline_large,price,1,1,0,otm_weekly,5000,0.002197626358374642,0.0064401180925870005,0.009936367009600003,0.02413025881642342,0.06510015353560449,0.09327097616816525
